2010-02-23T17:29:00; Saiu; 4; Sessão autenticada; 8
2010-02-23T17:29:00; Saiu; 7; Versão do protocolo; 22
2010-02-23T17:29:01; Saiu; 302; Lista de ativos em dia; 8
2010-02-23T17:29:01; Entrou; 301; Atualização de lista de ativos; 8
2010-02-23T17:29:27; Saiu; 100; Ativo completo; 25357
2010-02-23T17:29:27; Entrou; 100; Requisição de ativo; 18
2010-02-23T17:29:50; Saiu; 100; Ativo completo; 328037
2010-02-23T17:29:50; Entrou; 100; Requisição de ativo; 18
2010-02-23T19:53:29; Saiu; 1; Autenticação ok; 8
2010-02-23T19:53:29; Entrou; 1; Autenticando; 94
2010-02-23T19:53:29; Saiu; 3; Sessão; 8
2010-02-23T19:53:29; Entrou; 2; Requisição de sessão; 4
2010-02-23T19:53:30; Saiu; 6; Aguardando sessão; 8
2010-02-23T19:53:30; Entrou; 1000; Id da Sessão; 104
2010-02-23T19:53:30; Saiu; 4; Sessão autenticada; 8
2010-02-23T19:53:30; Saiu; 7; Versão do protocolo; 22
2010-02-23T19:53:30; Saiu; 302; Lista de ativos em dia; 8
2010-02-23T19:53:30; Entrou; 301; Atualização de lista de ativos; 8
2010-02-23T19:53:44; Saiu; 1; Autenticação ok; 8
2010-02-23T19:53:44; Entrou; 1; Autenticando; 94
2010-02-23T19:53:44; Saiu; 3; Sessão; 8
2010-02-23T19:53:44; Entrou; 2; Requisição de sessão; 4
2010-02-23T19:53:44; Saiu; 6; Aguardando sessão; 8
2010-02-23T19:53:44; Entrou; 1000; Id da Sessão; 104
2010-02-23T19:53:44; Saiu; 4; Sessão autenticada; 8
2010-02-23T19:53:44; Saiu; 7; Versão do protocolo; 22
2010-02-23T19:53:44; Saiu; 302; Lista de ativos em dia; 8
2010-02-23T19:53:44; Entrou; 301; Atualização de lista de ativos; 8
2010-02-23T20:13:41; Saiu; 1; Autenticação ok; 8
2010-02-23T20:13:41; Entrou; 1; Autenticando; 94
2010-02-23T20:13:41; Saiu; 3; Sessão; 8
2010-02-23T20:13:41; Entrou; 2; Requisição de sessão; 4
2010-02-23T20:13:42; Saiu; 6; Aguardando sessão; 8
2010-02-23T20:13:42; Entrou; 1000; Id da Sessão; 104
2010-02-23T20:13:42; Saiu; 4; Sessão autenticada; 8
2010-02-23T20:13:42; Saiu; 7; Versão do protocolo; 22
2010-02-23T20:13:42; Saiu; 302; Lista de ativos em dia; 8
2010-02-23T20:13:42; Entrou; 301; Atualização de lista de ativos; 8
2010-02-23T20:19:53; Saiu; 1; Autenticação ok; 8
2010-02-23T20:19:53; Entrou; 1; Autenticando; 94
2010-02-23T20:19:53; Saiu; 3; Sessão; 8
2010-02-23T20:19:53; Entrou; 2; Requisição de sessão; 4
2010-02-23T20:19:53; Saiu; 6; Aguardando sessão; 8
2010-02-23T20:19:53; Entrou; 1000; Id da Sessão; 104
2010-02-23T20:19:53; Saiu; 4; Sessão autenticada; 8
2010-02-23T20:19:53; Saiu; 7; Versão do protocolo; 22
2010-02-23T20:31:25; Saiu; 1; Autenticação ok; 8
2010-02-23T20:31:25; Entrou; 1; Autenticando; 94
2010-02-23T20:31:25; Saiu; 3; Sessão; 8
2010-02-23T20:31:25; Entrou; 2; Requisição de sessão; 4
2010-02-23T20:31:25; Saiu; 6; Aguardando sessão; 8
2010-02-23T20:31:25; Entrou; 1000; Id da Sessão; 104
2010-02-23T20:31:25; Saiu; 4; Sessão autenticada; 8
2010-02-23T20:31:25; Saiu; 7; Versão do protocolo; 22
2010-02-23T20:31:25; Entrou; 0; ; 0
2010-02-23T20:33:10; Saiu; 1; Autenticação ok; 8
2010-02-23T20:33:10; Entrou; 1; Autenticando; 94
2010-02-23T20:33:10; Saiu; 3; Sessão; 8
2010-02-23T20:33:10; Entrou; 2; Requisição de sessão; 4
2010-02-23T20:33:10; Saiu; 6; Aguardando sessão; 8
2010-02-23T20:33:10; Entrou; 1000; Id da Sessão; 104
2010-02-23T20:33:10; Saiu; 4; Sessão autenticada; 8
2010-02-23T20:33:10; Saiu; 7; Versão do protocolo; 22
2010-02-23T20:36:01; Saiu; 1; Autenticação ok; 8
2010-02-23T20:36:01; Entrou; 1; Autenticando; 94
2010-02-23T20:36:01; Saiu; 3; Sessão; 8
2010-02-23T20:36:01; Entrou; 2; Requisição de sessão; 4
2010-02-23T20:36:01; Saiu; 6; Aguardando sessão; 8
2010-02-23T20:36:01; Entrou; 1000; Id da Sessão; 104
2010-02-23T20:38:37; Saiu; 1; Autenticação ok; 8
2010-02-23T20:38:37; Entrou; 1; Autenticando; 94
2010-02-23T20:38:37; Saiu; 3; Sessão; 8
2010-02-23T20:38:37; Entrou; 2; Requisição de sessão; 4
2010-02-23T20:38:37; Saiu; 6; Aguardando sessão; 8
2010-02-23T20:38:37; Entrou; 1000; Id da Sessão; 104
